x,y,Elevation,Aspect,Slope
284207.9469,4866056.412,-2.875574658,0.099107663,-1.723179742
284257.9469,4866056.412,-2.879226008,-0.009653022,-1.754418133
284307.9469,4866056.412,-2.885252809,-0.172878429,-1.706175851
284357.9469,4866056.412,-2.891230953,-0.034204349,-1.698971866
284407.9469,4866056.412,-2.894133183,0.176908633,-1.750257292
284457.9469,4866056.412,-2.896392574,0.130990307,-1.65644129
274857.9469,4866106.412,-0.359170861,0.610599003,-0.077386845
274907.9469,4866106.412,-0.32750535,0.341998473,-0.637199711
274957.9469,4866106.412,-0.331418314,0.381426403,-1.395476205
275007.9469,4866106.412,-0.305683642,1.073768619,-0.213724271
275057.9469,4866106.412,-0.232705066,0.869796875,-0.127902074
275107.9469,4866106.412,-0.197660598,0.508462274,-0.187656432
275157.9469,4866106.412,-0.169523796,0.851724193,-0.608354812
275207.9469,4866106.412,-0.116383981,1.255924196,0.275194347
275257.9469,4866106.412,-0.030249165,1.1320516,-0.081160222
275307.9469,4866106.412,0.023327176,0.921002473,-0.527253944
275357.9469,4866106.412,0.066760276,0.794028524,-0.69614449
275407.9469,4866106.412,0.098063989,0.634108405,-1.123925447
275457.9469,4866106.412,0.110166614,0.560269482,-1.191174676
275507.9469,4866106.412,0.120819694,0.364023756,-1.184394439
275557.9469,4866106.412,0.117684587,0.232299198,-0.850409752
275607.9469,4866106.412,0.115240889,0.319698586,-0.194394384
275657.9469,4866106.412,0.160619188,0.69346963,0.527155534
275707.9469,4866106.412,0.224838976,0.610262675,0.169601702
275757.9469,4866106.412,0.255007012,0.52911714,-0.157611125
275807.9469,4866106.412,0.279457951,0.48777718,0.233326175
275857.9469,4866106.412,0.326723177,0.584836087,0.759762639
275907.9469,4866106.412,0.390021204,0.809122861,1.587312747
275957.9469,4866106.412,0.517465291,0.839453413,1.878013876
276007.9469,4866106.412,0.619158484,0.564545863,1.127830343
276057.9469,4866106.412,0.6589935,0.415193828,1.69479642
276107.9469,4866106.412,0.678970054,0.304692833,2.147992789
276157.9469,4866106.412,0.664856466,0.154430697,2.178040417
276207.9469,4866106.412,0.627722457,0.243322147,2.191329339
276257.9469,4866106.412,0.640580097,0.391378861,2.623532774
276307.9469,4866106.412,0.684642004,0.399164856,3.00024451
276357.9469,4866106.412,0.726474555,0.385181733,2.939585694
276407.9469,4866106.412,0.752974521,0.368738639,3.258132305
276457.9469,4866106.412,0.819728936,0.483780212,3.480493138
276507.9469,4866106.412,0.903196989,0.525342283,3.031878389
276557.9469,4866106.412,0.957977384,0.375638721,2.728565124
276607.9469,4866106.412,0.974872549,0.292174127,2.443678917
276657.9469,4866106.412,0.964356113,0.23237074,2.060479239
276707.9469,4866106.412,0.976844399,0.540003538,1.826770578
