band_num,band_age,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,obs,Color Band,d_banded,tars,mass,wing,sex,fm_site,species
244114068,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"g,a/bk",5/29/10,21.92,20.9,65.5,M,Buising,SOSP
244114067,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a,pk/y",5/29/10,21.38,22.9,63,F,Buising,SOSP
241137793,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"bu,y/a",5/29/10,27.87,35.4,88,M,Buising,GRCA
261037305,U,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a/y,p",5/28/10,15.63,10,62,U,Balachandran,CACH
242111607,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"bk,bu/a",5/24/10,23.94,44.4,90,F,Fuisz,NOCA
246022780,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"a/w,w",5/10/10,14.58,8.3,59,F,Vongsathorn,CACH
127243086,AHY,.,.,.,.,.,.,.,.,.,.,b,rp,.,2,"g,bk/a",5/10/10,30.03,84.1,121,F,Vongsathorn,AMRO
246022847,U,.,.,.,.,.,.,.,b,rprt,rp,.,rp,.,5,"a,p/o",7/13/07,15.84,9.5,55,U,Gecan,CACH
123287913,AHY,.,.,.,.,.,.,.,.,b,rp,.,rp,.,4,"o, A/O",6/7/08,,,126,F,Balachandran,AMRO
230156957,HY,.,.,.,.,.,.,.,.,.,b,.,rp,.,3,"p/a,bk",7/13/09,23.36,39.7,82,U,Barbour,NOCA
230156956,AHY,.,.,.,.,.,.,.,.,.,b,.,rp,.,3,"w,pk/a",7/13/09,22.99,42.5,93,M,Barbour,NOCA
120299062,AHY,.,.,.,.,.,.,.,.,.,b,.,rp,.,3,"A/Y,G",5/10/09,34.71,91,132,F,Reitsma,AMRO
230155967,AHY,.,.,.,.,.,.,.,.,b,.,.,rp,.,4,"bk/r,a",7/1/08,26.95,35.8,86,M,"Woodward, Paul",GRCA
74229428,AHY,.,.,.,.,.,.,.,.,b,.,.,rp,.,4,"pk/bk,a",6/2/08,30.7,76.1,115,F,Barbour,AMRO
195141271,AHY,.,.,.,.,.,b,rp,.,.,.,.,rp,.,7,"y/o,a",5/30/05,29.2,36.8,89,M,Frey,GRCA
244114696,AHY,.,.,.,.,.,.,.,.,.,.,b,d,.,2,"bk,a/g",7/12/10,21.06,22.5,63,F,Hunter,SOSP
251004318,HY,.,.,.,.,.,.,.,b,rprc,.,.,d,.,5,"y,a/w",7/2/07,16.8,10.4,58,M,Newberry,HOWR
244114140,AHY,.,.,.,.,.,.,.,.,.,b,rtrc,.,.,2,"-,o/a",7/2/09,21.19,19.6,68,M,Wilde,SOSP
230156530,AHY,.,.,.,.,.,.,.,.,b,rt,rt,.,.,3,"o,a/g",7/26/08,24.51,47.4,94,M,"Miller, L.",NOCA
120299051,AHY,.,.,.,.,.,.,.,.,b,rt,rt,.,.,3,"w/a,y",7/18/08,32.78,49.5,112,M,Simons,NOMO
234129326,AHY,.,.,.,.,.,.,.,.,b,rt,rt,.,.,3,"o/w,a",7/12/08,20.9,21.5,67,M,Halla,SOSP
251003803,U,.,.,.,.,.,.,.,.,b,rt,rt,.,.,3,"y,a/y",5/29/08,16.57,10.2,61,U,Speyser,CACH
230156597,AHY,.,.,.,.,.,.,.,.,b,rt,rt,.,.,3,"pk,pk/a",5/28/08,25.68,44,92,M,Rohrbach,NOCA
251004210,AHY,.,.,.,.,.,.,.,b,.,rt,rt,.,.,4,"a/bu,g",6/18/07,15.43,10.05,60,F,"Galloway, T.",CACH
230156905,AHY,.,.,.,.,.,.,.,b,rt,rp,rt,.,.,4,"y,g/a",6/21/07,24.77,42.5,96,M,Missiaen,NOCA
230156785,AHY,.,.,.,.,.,.,.,.,b,rp,rt,.,.,3,"G/A,y/o",6/24/08,27.2,36.2,92,M,Reitsma,GRCA
228169478,AHY,.,.,.,.,.,.,.,.,b,rp,rt,.,.,3,"a,pk/pk",6/19/08,21.69,20.2,62,M,Lieberman,SOSP
230156589,AHY,.,.,.,.,.,.,.,.,b,rp,rt,.,.,3,"a/pk,o",6/3/08,24.47,45.3,90,F,"Young, E.",NOCA
225180092,AHY,.,.,.,.,.,.,.,.,b,rp,rt,.,.,3,"A,Pk/R",5/27/08,20.95,22.1,65,F,Subramanian,SOSP
230155974,ASY,.,.,.,.,.,.,.,.,b,rc,rt,.,.,3,"r/a,g",7/8/08,23.54,40.9,92.75,M,Burdett,NOCA
74229436,AHY,.,.,.,.,.,.,.,.,b,rc,rt,.,.,3,"r,a/pk",6/30/08,33.33,53.7,118,M,Morrison,NOMO
120299047,ASY,.,.,.,.,.,.,.,.,b,rc,rt,.,.,3,"r/a,pk",6/21/08,33.145,53,116,M,Solitro,NOMO
228169442,AHY,.,.,.,.,.,.,.,b,.,rc,rt,.,.,4,"a,g/o",7/11/07,21.535,21.25,63,M,Burdett,SOSP
244113744,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/pu,pk",7/28/09,20.94,18.3,62,F,Reitsma,SOSP
241137187,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"bk,w/a",7/28/09,23.97,42.2,90,F,Reitsma,NOCA
79117226,ASY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"y,r/a",7/26/09,28.08,38.9,91,M,"Young, K.",GRCA
244115044,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"w/pk,a",7/22/09,21.94,21,65,M,"Owen, D.",SOSP
241115043,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"o,a/bk",7/22/09,22.96,42,105,M,"Owen, D.",NOCA
241137178,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/g,w",7/20/09,23.85,44.1,88,F,Horowitz,NOCA
230156962,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"bk/bu,a",7/20/09,20.66,38.1,91,F,Wolfrum,NOCA
230156961,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"o, a/bu",7/20/09,27.25,33.6,91,U,Wolfrum,GRCA
259082636,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r/a,g",7/17/09,16.59,10,61,U,Myers,CACH
120299095,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"r,a/pk",7/15/09,31.67,79,123,F,Carl,AMRO
241137429,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/pk,g",7/14/09,28.02,37.5,94,M,Wiebe,GRCA
241137169,HY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"g,a/r",7/14/09,24.71,44.9,86,M,Hawn,NOCA
129264512,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"pk/bu,a",7/11/09,33.43,75.1,121,F,Kestnbaum-Cook,AMRO
230156952,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/r,bu",7/10/09,28.43,33.9,86,M,D'Alessio,GRCA
241137766,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/bu,p",7/3/09,26.29,44,95,M,Schindler,NOCA
230156943,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"bu,a/p",7/3/09,28.46,36.5,88,M,"Williams, R.",GRCA
259082564,HY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"a/y,p",6/30/09,15.95,9.8,59,U,Owen,CACH
259082563,HY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"bk,a/r",6/30/09,15.54,9.3,59,U,Owen,CACH
244114040,AHY,.,.,.,.,.,.,.,.,.,b,rt,.,.,2,"pk/y,a",6/30/09,20.47,19.4,65,M,Owen,SOSP
